Initials,DateBlkTrtmnt,Date.x,Block.x,Treatment,CountType,Insect.type,Concat_DBT_sp_num,DG_Spec_ID_code,Jaime_Family_ID.x,Jaime_Genus_ID.x,Jaime_Species_ID.x,Jaime_GenusSpeciesID.x,Jaime_Sex_ID.x,PlantCode.x,InsectGenus,InsectSpecies,TypeGenusSpeInsect,PhotoPacket,Idnotes,Sex,Count,PlantGenus,PlantSpecies,Pollen_Nectar,Idnumber,captured.,Notes.x,Date.y,Block.y,Trtmnt,Loc,Time,Netter,AvegWindMph,TempC,Humidity,CloudCover,PercentInSun,Genus,Species,TotalOpenFl,TotalCloseFl,Plnt_categ,NatorNon,Notes.y,...20,Jaime_Family_ID.y,Jaime_Genus_ID.y,Jaime_Species_ID.y,Jaime_GenusSpeciesID.y,Jaime_Sex_ID.y,PlantCode.y,DGPrelimFam,DGPrelimGenus,DGPrelimSp,DGPrelimGenSp,DGPrelimSex,...13,Notes
AD,22Jul2024stavh,22Jul2024,stav,h,snapshot,Wasp,22Jul2024stavh,,,,,,,,,,Wasp  ,,,,1,Horkelia,californica,,,,,22Jul2024,stav,h,1291 B,0.62152777777777779,DG,6.1,16.7,88,75,100,Symphyotrichum,chilense,48,8,native,nat,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AD,22Jul2024stavh,22Jul2024,stav,h,snapshot,Wasp,22Jul2024stavh,,,,,,,,,,Wasp  ,,,,1,Horkelia,californica,,,,,22Jul2024,stav,h,1291 B,0.62152777777777779,DG,6.1,16.7,88,75,100,Horkelia,californica,35,0,native,nat,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AD,22Jul2024stavh,22Jul2024,stav,h,snapshot,Wasp,22Jul2024stavh,,,,,,,,,,Wasp  ,,,,1,Horkelia,californica,,,,,22Jul2024,stav,h,1291 B,0.62152777777777779,DG,6.1,16.7,88,75,100,Grindelia,stricta,3,5,native,nat,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AD,22Jul2024stavh,22Jul2024,stav,h,snapshot,Wasp,22Jul2024stavh,,,,,,,,,,Wasp  ,,,,1,Horkelia,californica,,,,,22Jul2024,stav,h,1291 B,0.62152777777777779,DG,6.1,16.7,88,75,100,Malva,NA,30,135,weedy,non,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AD,22Jul2024stavh,22Jul2024,stav,h,snapshot,Wasp,22Jul2024stavh,,,,,,,,,,Wasp  ,,,,1,Horkelia,californica,,,,,22Jul2024,stav,h,1291 B,0.62152777777777779,DG,6.1,16.7,88,75,100,Loropetalum,chilense,22,0,ornamental,non,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AD,22Jul2024stavh,22Jul2024,stav,h,snapshot,Bee,22Jul2024stavh,,,,,,,,Bombus,,Bee Bombus ,,,,3,Horkelia,californica,,,,,22Jul2024,stav,h,1291 B,0.62152777777777779,DG,6.1,16.7,88,75,100,Symphyotrichum,chilense,48,8,native,nat,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AD,22Jul2024stavh,22Jul2024,stav,h,snapshot,Bee,22Jul2024stavh,,,,,,,,Bombus,,Bee Bombus ,,,,3,Horkelia,californica,,,,,22Jul2024,stav,h,1291 B,0.62152777777777779,DG,6.1,16.7,88,75,100,Horkelia,californica,35,0,native,nat,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AD,22Jul2024stavh,22Jul2024,stav,h,snapshot,Bee,22Jul2024stavh,,,,,,,,Bombus,,Bee Bombus ,,,,3,Horkelia,californica,,,,,22Jul2024,stav,h,1291 B,0.62152777777777779,DG,6.1,16.7,88,75,100,Grindelia,stricta,3,5,native,nat,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AD,22Jul2024stavh,22Jul2024,stav,h,snapshot,Bee,22Jul2024stavh,,,,,,,,Bombus,,Bee Bombus ,,,,3,Horkelia,californica,,,,,22Jul2024,stav,h,1291 B,0.62152777777777779,DG,6.1,16.7,88,75,100,Malva,NA,30,135,weedy,non,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AD,22Jul2024stavh,22Jul2024,stav,h,snapshot,Bee,22Jul2024stavh,,,,,,,,Bombus,,Bee Bombus ,,,,3,Horkelia,californica,,,,,22Jul2024,stav,h,1291 B,0.62152777777777779,DG,6.1,16.7,88,75,100,Loropetalum,chilense,22,0,ornamental,non,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
