Initials,DateBlkTrtmnt,Date,Block,Treatment,CountType,Insect.type,Concat_DBT_sp_num,DG_Spec_ID_code,Jaime_Family_ID.x,Jaime_Genus_ID.x,Jaime_Species_ID.x,Jaime_GenusSpeciesID.x,Jaime_Sex_ID.x,PlantCode.x,InsectGenus,InsectSpecies,TypeGenusSpeInsect,PhotoPacket,Idnotes,Sex,Count,PlantGenus,PlantSpecies,Pollen_Nectar,Idnumber,captured.,Notes.x,Jaime_Family_ID.y,Jaime_Genus_ID.y,Jaime_Species_ID.y,Jaime_GenusSpeciesID.y,Jaime_Sex_ID.y,PlantCode.y,DGPrelimFam,DGPrelimGenus,DGPrelimSp,DGPrelimGenSp,DGPrelimSex,...13,Notes.y
AD,22Jul2024stavh,22Jul2024,stav,h,snapshot,Wasp,22Jul2024stavh,,,,,,,,,,Wasp  ,,,,1,Horkelia,californica,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AD,22Jul2024stavh,22Jul2024,stav,h,snapshot,Bee,22Jul2024stavh,,,,,,,,Bombus,,Bee Bombus ,,,,3,Horkelia,californica,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AD,22Jul2024stavh,22Jul2024,stav,h,snapshot,Bee,22Jul2024stavh,,,,,,,,Bombus,,Bee Bombus ,,,,1,Horkelia,californica,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AD,22Jul2024stavh,22Jul2024,stav,h,N1,Bee,22Jul2024stavhp1,,,,,,,,Bombus,vos/calig,Bee Bombus vos/calig,22Jul2024stavHp1,"yellow T4, no corbicula, yellow underneath, shaggy ",male,1,Horkelia,californica,,p1,y,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AD,22Jul2024stavh,22Jul2024,stav,h,N1,Bee,22Jul2024stavhp2,,,,,,,,Bobmus,vos/calig,Bee Bobmus vos/calig,22Jul2024stavHp2,"yellow T4, no corbicula, yellow underneath, shaggy ",male,1,Horkelia,californica,,p2,y,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AD,22Jul2024stavh,22Jul2024,stav,h,N1,Bee,22Jul2024stavhp3,,,,,,,,Bombus,vos/calig,Bee Bombus vos/calig,22Jul2024stavHp3,"yellow T4, 13 segments, a lot yellow underneath",male,1,Horkelia,californica,,p3,y,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AD,22Jul2024stavh,22Jul2024,stav,h,N1,Bee,22Jul2024stavhp4,,,,,,,,Bombus,vos/calig,Bee Bombus vos/calig,22Jul2024stavHp4,"lots of yellow underneath, shaggy, no corbicula",male,1,Horkelia,californica,,p4,y,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AD,22Jul2024stavh,22Jul2024,stav,h,N1,Bee,22Jul2024stavhp5,,,,,,,,Bombus,vos/calig,Bee Bombus vos/calig,22Jul2024stavHp5,"yellow underneath, 13 segments",male,1,Horkelia,californica,,p5,y,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AD,22Jul2024stavh,22Jul2024,stav,h,N1,Bee,22Jul2024stavhp6,,,,,,,,Bombus,calig,Bee Bombus calig,22Jul2024stavHp6,"yellow underneath, pollen ball",female,1,Horkelia,californica,,p6,y,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AD,22Jul2024stavh,22Jul2024,stav,h,N1,Wasp,22Jul2024stavhp7,,,,,,,,Vespula,alascensis,Wasp Vespula alascensis,22Jul2024stavHp7,"no diamond, continuous yellow, short cheek, no checkmark",,1,Horkelia,californica,,p7,y,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AD,22Jul2024stavh,22Jul2024,stav,h,N2,Wasp,22Jul2024stavh,,,,,,,,Vespula,,Wasp Vespula ,,,,1,Loropetalum,chinense,,,missed,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
